2023-10-03 at 18:19:48 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:51 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:19:54 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 recaptcha-verification
2023-10-03 at 18:21:15 | INFO: Starting bot
2023-10-03 at 18:21:26 | INFO: 0xacb008a76C6D2e228E232F52409485E37C9F5345: 401 not-eligible
2023-10-03 at 18:21:30 | INFO: 0xBbd03164FCaFE6Ba52dAb5e4eE4642D3Fc1B099b: 401 not-eligible
2023-10-03 at 18:21:35 | INFO: 0x9E0748c02a9EAe5E9b0c35BcFb3609E1F4C8aB25: 401 not-eligible
2023-10-03 at 18:22:19 | INFO: 0x03d051B8704987D5474334be63336996af4ed2be: 200 eligible
2023-10-03 at 18:31:17 | INFO: 0xa97cBdF7b7a4975C7e832D1306a8FB9d21429b00: 401 not-eligible
2023-10-03 at 18:31:37 | INFO: 0xE0d43a8431130edfE2F6b65031914acd39758aa6: 401 not-eligible
2023-10-03 at 18:31:52 | INFO: 0x5A4eeD4570a28611A2e798b3A0F02866823cb3aA: 200 eligible
2023-10-03 at 18:32:22 | INFO: 0x2FD7B11852854C9a6E9b70Bc74601900EC43f53B: 401 not-eligible
2023-10-03 at 18:32:32 | INFO: 0x93CA1Bc506d3f8c5f22f8133EE428Bf006C4ffdb: 401 not-eligible
2023-10-03 at 18:32:46 | INFO: 0x888c4C0be5A671e9A54eDE69F87e49619499ce7d: 401 not-eligible
2023-10-03 at 18:33:03 | INFO: 0xa853a7A57D11ed726057b17a8715ECDA6a492811: 401 not-eligible
2023-10-03 at 18:33:18 | INFO: 0x7000E5f1996e30C172189bAaa04b0fB39ec4A6Bd: 401 not-eligible
2023-10-03 at 18:33:33 | INFO: 0xBdbE9a3aEDB401Ae57aBb4BACDB4c1Da8c5D56e3: 401 not-eligible
2023-11-14 at 20:58:48 | INFO: Starting bot
